TIME,bandwidth,Lat,,
08:57.8,52.191,,,
08:57.9,62.713,,,
08:58.0,62.823,,,
08:58.1,63.51,,,
08:58.2,68.964,,,
08:58.3,75.97,,,
08:58.4,71.976,,,
08:58.5,67.991,,,
08:58.6,74.729,,,
08:58.7,68.237,,,
08:58.8,62.669,,,
08:58.9,66.07,,,
08:59.0,54.843,,,
08:59.1,39.013,,,
08:59.2,37.495,,,
08:59.3,26.885,,,
08:59.4,21.63,,,
08:59.5,40.593,,,
08:59.6,46.964,,,
08:59.7,44.949,,,
08:59.8,41.35,,,
08:59.9,35.288,,,
09:00.0,33.941,,,
09:00.1,33.735,,,
09:00.2,29.642,,,
09:00.3,34.746,,,
09:00.4,38.836,,,
09:00.5,35.742,,,
09:00.6,40.518,,,
09:00.7,43.436,,,
09:00.8,46.61,,,
09:00.9,41.289,,,
09:01.0,33.9,,,
09:01.1,30.177,,,
09:01.2,22.985,,,
09:01.3,31.917,,,
09:01.4,30.07,,,
09:01.5,36.452,,,
09:01.6,39.634,,,
09:01.7,37.206,,,
09:01.8,43.606,,,
09:01.9,42.775,,,
09:02.0,43.272,,,
09:02.1,42.438,,,
09:02.2,41.758,,,
09:02.3,38.881,,,
09:02.4,29.049,,,
09:02.5,34.759,,,
09:02.6,34.195,,,
09:02.7,28.885,,,
09:02.8,29.625,,,
09:02.9,28.609,,,
09:03.0,26.584,,,
09:03.1,29.558,,,
09:03.2,30.448,,,
09:03.3,36.994,,,
09:03.4,26.792,,,
09:03.5,24.1,,,
09:03.6,23.656,,,
09:03.7,22.63,,,
09:03.8,19.51,,,
09:03.9,23.989,,,
09:04.0,32.848,,,
09:04.1,27.832,,,
09:04.2,26.047,,,
09:04.3,16.932,,,
09:04.4,18.723,,,
09:04.5,24.314,,,
